Name,RecordType,ZoneName,ResourceGroupName,TTL,Value
@,A,sandbox.gurosh.com,Gurosh,60,102.133.185.190
www,A,sandbox.gurosh.com,Gurosh,60,102.133.185.190
agent,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
backoffice,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
info,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
merchant,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
offline,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
wallet,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
welcome,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
abs,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
api,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
blockchain,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
cashier,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
emission,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
exchange,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
riak,CNAME,sandbox.gurosh.com,Gurosh,60,sandbox.gurosh.com
